,feature,score
107,OverallQual,0.5834933882697423
203,GrLivArea,0.10926688973616028
184,TotalBsmtSF,0.03871872458275238
201,2ndFlrSF,0.032774104979619974
180,BsmtFinSF1,0.026616967916210828
200,1stFlrSF,0.020967399664014803
224,GarageCars,0.01867337514209044
225,GarageArea,0.015251464892850198
24,LotArea,0.013165024810840567
109,YearBuilt,0.008835041619019926
23,LotFrontage,0.007316608017723444
211,TotRmsAbvGrd,0.006576277983089608
110,YearRemodAdd,0.006239400907272003
175,BsmtQual,0.00605748703110588
183,BsmtUnfSF,0.005276796188802468
206,FullBath,0.005022058493659865
165,MasVnrArea,0.0050205691686103044
230,OpenPorchSF,0.004992065686742578
210,KitchenQual,0.004881511966893183
229,WoodDeckSF,0.004515163351435206
222,GarageYrBlt,0.004370738275912141
214,FireplaceQu,0.004242810704080035
108,OverallCond,0.00419231331840498
223,GarageFinish,0.003918528073706716
243,MoSold,0.0033456346674534264
193,CentralAir,0.003003846692834968
177,BsmtExposure,0.0026689499848296344
179,BsmtFinType1,0.002321695691443875
166,ExterQual,0.0020624937155204605
220,GarageType__Detchd,0.0020584587780066153
208,BedroomAbvGr,0.00195701562335232
216,GarageType__Attchd,0.0015356882273755222
244,YrSold,0.0013659450508728766
213,Fireplaces,0.0013065424220981231
233,ScreenPorch,0.0012321810261666135
21,MSZoning__RM,0.0012266114705487812
32,LotShape__Reg,0.0010610566934124482
207,HalfBath,0.0008813803735360236
204,BsmtFullBath,0.0008400880612873693
192,HeatingQC,0.0007039262264729014
163,MasVnrType__Stone,0.0006974695210728338
231,EnclosedPorch,0.0006944347005463445
54,Neighborhood__Edwards,0.0006782905477117499
156,Exterior2nd__VinylSd,0.0006728694844277315
34,LandContour__Bnk,0.0006441927076964307
5,MSSubClass__60.0,0.0006379657930647788
212,Functional,0.0006369524281661799
209,KitchenAbvGr,0.0006264927692325097
226,GarageQual,0.0006049090607670826
133,Exterior1st__HdBoard,0.0005993144394245198
149,Exterior2nd__HdBoard,0.0005925486465710725
53,Neighborhood__Crawfor,0.0005916588377591457
260,SaleCondition__Partial,0.0005660094068534173
20,MSZoning__RL,0.0005539705513707406
114,RoofStyle__Hip,0.0005364006459119151
182,BsmtFinSF2,0.000522727497931058
234,PoolArea,0.0005160904166501751
